trade,business name,reviews,phone,contacted,sms,called,interested,website sent,status
plumber,,,0876995427,,yes,no,no,no,not client
plumber,Rainbow Plumbing 24/7 Emergency Gas Boilers Immersions,158,0864066281,yes,yes,,,,
plumber,Plumbing Ireland,102,0873575184,yes,yes,,,,
plumber,Phil Appleby Plumbing,94,0872396331,yes,yes,,,,
plumber,Noel Costelloe Boiler Maintenance,13,0872302193,yes,yes,,,,
plumber,24Hour Plumbing Services,12,0861796224,yes,yes,,,,
plumber,Damien Dunleavy Heating & Plumbing,11,0879376156,yes,yes,,,,
plumber,Horan Plumbing Ltd,6,0862244348,yes,yes,,,,
plumber,ABC Plumbing and Heating,6,0872025575,yes,yes,,,,
plumber,CT Plumbing & Heating,5,0872481488,yes,yes,,,,
plumber,John Donoghue Plumbing & Heating,5,0868452141,yes,yes,,,,
plumber,Ireland Plumbing Ltd,5,447912892341,yes,yes,,,,
plumber,McNulty Heating & Plumbing,3,0868392839,yes,yes,,,,
plumber,Declan Judge Plumbing and Heating,108,0877586237,yes,yes,,,,
plumber,Dublin plumbing and heating,9,0877112323,yes,yes,,,,
plumber,Brian Wall Heating and Plumbing,68,0872651523,yes,yes,,,,
plumber,Heatview Plumbing and Heating,44,0858732792,yes,yes,,,,
plumber,DS Heating & Plumbing,39,0863639175,yes,yes,,,,
plumber,McSweeney Plumbing and Heating,39,0863622024,yes,yes,,,,
plumber,Nk plumbing and heating solutions,26,0851703429,yes,yes,,,,
plumber,Brian Stones Heating and Plumbing,23,0872993975,yes,yes,,,,
plumber,Liam O'Brien Heating and Plumbing Services,21,0892725303,yes,yes,,,,
plumber,PGL Plumbing and Heating,16,0834423348,yes,yes,,,,
plumber,Brogan Plumbing and Heating,15,0874545370,yes,yes,,,,
plumber,Shane Ryan Plumbing and Heating,14,0857269872,yes,yes,,,,
plumber,Athenry Plumbing & Heat Co,13,0872367812,yes,yes,,,,
plumber,Gary Naughton Plumbing Services,13,0892706808,yes,yes,,,,
plumber,Paul Kinsella Plumbing and Heating,12,0872591642,yes,yes,,,,
plumber,Luke Heating And Plumbing,12,0899733753,yes,yes,,,,
plumber,Michael McCormack Heating and Plumbing Contractor,12,0868131029,yes,yes,,,,
plumber,DH Heating & Plumbing,11,0852866120,yes,yes,,,,
plumber,Jay Heating and Plumbing Ltd,11,0877003148,yes,yes,,,,
plumber,David Ross Plumbing and Heating Ltd,10,0877418626,yes,yes,,,,
plumber,Dean Mooney Heating and Plumbing,9,0863425556,yes,yes,,,,
plumber,James Treacy Plumbing and Heating,9,0879854875,yes,yes,,,,
plumber,Kelly plumbing and Gas,8,0876176347,yes,yes,,,,
plumber,O'Shea Plumbing and Heating,7,0852354083,yes,yes,,,,
plumber,Connor Murphy plumbing and heating,5,0879336433,yes,yes,,,,
plumber,Ballyglass Heating & Plumbing Paul Walshe,4,0872809571,yes,yes,,,,
plumber,Buxton's General Contractors,4,0874079381,yes,yes,,,,
plumber,Ronan O'Gorman Plumbing and Heating Limited,3,0868977484,yes,yes,,,,
plumber,Lambe Plumbing and Heating Services,2,0894574897,yes,yes,,,,
plumber,Tm Plumbing and Heating,2,,yes,yes,,,,
plumber,Gary Killeen Plumbing and Heating,2,0879423783,yes,yes,,,,
plumber,PMCG Plumbing & Heating,1,0858064946,yes,yes,,,,
plumber,P.Goodison Plumbing & Heating,1,0861013623,yes,yes,,,,
plumber,John Burke Heating & Plumbing Limited,1,0866035126,yes,yes,,,,
plumber,Muldoon Heating & Plumbing,0,0433341165,yes,yes,,,,
plumber,DH Plumbing and Heating RGII Registered,0,0870952392,yes,yes,,,,
plumber,Home Heating Solutions,89,0857276464,yes,yes,,,,
plumber,ACD Heating Plumbing and Bathrooms,58,0894734240,yes,yes,,,,
plumber,24 Hour Plumber Louth,45,0419865064,yes,yes,,,,
plumber,O'Mahony Heating and Plumbing,30,0872556270,yes,yes,,,,
plumber,Darren O'Callaghan Heating and Plumbing,19,0877201350,yes,yes,,,,
plumber,HB Plumbing and Heating,7,447377543271,yes,yes,,,,
plumber,Donegal Plumbers,7,0861719650,yes,yes,,,,
plumber,Meenans Heating and Plumbing,5,0749131097,yes,yes,,,,
plumber,Enda Boyce Heating and Plumbing,5,0863520644,yes,yes,,,,
plumber,T&V Plumbing and Heating Limited,4,0494367837,yes,yes,,,,
plumber,Anthony Tiffoney Plumbing Heating Domestic and Commercial,2,0879222131,yes,yes,,,,
plumber,Gary Elliott Plumbing and Heating,1,447835581487,yes,yes,,,,
plumber,Plumbing and heating Donegal and Fermanagh,1,0858312209,yes,yes,,,,
plumber,TK Plumbing and Heating,1,0874021511,yes,yes,,,,
plumber,Affordable Plumbing & Heating Services,1,0871693055,yes,yes,,,,
plumber,Pat Kelleher & Sons Ltd,0,0872620876,yes,yes,,,,
plumber,Channel Heating and Plumbing,9,0892053389,yes,yes,,,,
plumber,Plumbers on Tap - Danny Collins,8,0857173036,yes,yes,,,,
plumber,Aidan Murray Plumbing and Heating,3,0876995427,yes,yes,,,,
plumber,Tom Nolan Plumbing and Pumps,3,0874121519,yes,yes,,,,
plumber,B Collins Plumbing,2,0879710559,yes,yes,,,,
plumber,Gerry Crehan Plumbing and Heating,1,0877783824,yes,yes,,,,
plumber,Lynskey Plumbing,1,0868290872,yes,yes,,,,
plumber,Oran Heating and Plumbing Construction Services,0,0894878480,yes,yes,,,,
